track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy,angry
5qZRyl3QDa1PbNXuYfBCEP,Tuhan Sebut Sia-Sia,Pendarra,0.598,0.354,9,-11.486,1,0.0366,0.942,0.00323,0.0849,0.105,77.448,317453,4,dewasa,1,0,1,0,0
2qgjqbi96IAOBzZFC6H57U,Diri,Tulus,0.576,0.289,5,-9.389,1,0.0261,0.838,8.63e-05,0.085,0.485,96.103,240000,4,dewasa,0,0,1,0,0
2FaquTc3FYvNm7RuO1gD6O,Langit Abu-Abu,Tulus,0.485,0.133,2,-10.7,1,0.058,0.91,0.0,0.106,0.366,100.593,202951,3,dewasa,0,0,1,0,0
5GgRntbjr23OK9MMST02di,Usik,Feby Putri,0.209,0.441,2,-10.917,1,0.0383,0.777,0.317,0.137,0.0921,182.038,311497,3,dewasa,0,0,1,1,0
22lb93WwJwWvzFmlxIVoOi,depressed sometimes,Arash Buana,0.372,0.163,8,-10.932,1,0.0393,0.95,0.0,0.133,0.131,179.63,259371,3,dewasa,0,0,1,1,0
1UsbPppKnnSE5J46kWPkBE,Bungsu,Kunto Aji,0.387,0.29,11,-10.465,1,0.0261,0.452,2.01e-05,0.154,0.402,104.217,130413,4,dewasa,0,0,0,0,0
6Hii26x3qDErVitnGW8QtO,Runtuh,Feby Putri,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,223974,4,dewasa,0,0,1,0,0
1fgskANO281gUdRWOm4Mtw,Hujan Di Balik Jendela,Senandung,0.63,0.275,2,-14.225,1,0.0275,0.895,0.0416,0.308,0.506,94.953,278134,4,dewasa,0,0,1,0,0
0O6g2QFUhuLqRzGqhyzrIu,Hitam Putih,Fourtwnty,0.517,0.329,2,-10.699,1,0.033,0.785,1.91e-05,0.0823,0.148,119.863,251000,4,dewasa,0,0,1,0,0
0g2vrhFiSaZc98oUj1yult,disney,aya,0.514,0.454,2,-4.935,1,0.0274,0.778,4.53e-06,0.0626,0.143,97.294,217846,3,dewasa,0,0,1,0,1
4lSLK4DZmM1PoCcJIvMium,Tidak Ada Salju Di Sini Pt.6 (Selamat Jalan),Lomba Sihir,0.577,0.364,8,-11.38,1,0.0307,0.0189,0.264,0.1,0.213,73.979,270169,4,dewasa,1,0,0,0,0
1QwRHgfwLz10z73omVRGwI,"we'll be okay, for today",Arash Buana,0.383,0.221,1,-13.725,1,0.037,0.941,0.000991,0.0944,0.357,107.759,228725,4,dewasa,0,0,1,0,0
1hVk8d2Nu7KIzCPZBYFlTS,take a break,Arash Buana,0.547,0.418,11,-9.772,1,0.0337,0.556,0.0665,0.164,0.212,144.944,262475,4,dewasa,0,0,1,1,0
5nDnSFvtLNienakTpEqL7G,Kamar Rindu,Askarweda,0.444,0.308,10,-7.741,1,0.0281,0.906,0.0,0.0899,0.219,93.88,167328,4,dewasa,0,0,1,0,0
4JozU4Ud30FGyDYzoUKasI,Garis Terdepan,Fiersa Besari,0.659,0.334,2,-11.181,1,0.0273,0.656,0.0,0.0938,0.398,87.356,213237,4,dewasa,0,0,1,0,0
4TPIAnmVnouoZuwB6blHWl,Si Lemah,RAN,0.481,0.506,2,-8.86,0,0.0269,0.142,0.0,0.0764,0.325,91.05,254000,4,dewasa,0,0,0,0,0
4BLpx15uqj0UykcYPXALGO,Intuisi,Yura Yunita,0.492,0.129,8,-13.66,1,0.0337,0.94,0.000424,0.0806,0.358,80.077,240259,4,dewasa,1,0,1,0,0
6A5tlFsbty5iJkSqMFWNFs,Pilu Membiru,Kunto Aji,0.368,0.27,7,-10.989,1,0.0289,0.894,0.00029,0.12,0.0547,82.536,251813,4,dewasa,1,0,1,0,0
4oSmLeQkMd2kN4BzBLWAZS,Ingkar,Tulus,0.241,0.328,7,-8.641,1,0.03,0.87,6.09e-05,0.125,0.35,86.429,252000,4,dewasa,0,0,1,0,0
4ZG4aqyBvKk3V3yZBoLToK,Sulung,Kunto Aji,0.424,0.293,11,-12.723,1,0.0306,0.839,9.58e-05,0.21,0.318,52.463,113907,4,dewasa,1,0,1,0,0
1k1e4Amkn7hIFrEthtazqT,Tutur Batin,Yura Yunita,0.576,0.329,10,-8.87,1,0.0487,0.813,0.000671,0.108,0.397,72.91,215591,4,dewasa,1,0,1,0,0
1kAQQKREO1mXYy2Qy7H9td,Remedi,Tulus,0.532,0.511,7,-7.141,1,0.0348,0.688,0.000843,0.191,0.353,89.99,247600,4,dewasa,0,0,1,0,0
2madAtgVGQdlJAABV68liq,Mau Kemana,Yura Yunita,0.459,0.145,0,-11.841,1,0.0389,0.896,0.000284,0.134,0.193,129.675,187556,4,dewasa,0,0,1,0,0
30WzWPV3Zi5ZJoSoftU30f,Closure,Pamungkas,0.384,0.351,9,-10.324,0,0.0275,0.732,0.000677,0.265,0.268,139.82,406307,4,dewasa,0,0,1,0,0
5QGdWvXwXMK2Zx6eKagyue,Sudah - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,0.617,0.172,2,-11.526,1,0.0316,0.907,2.87e-05,0.16,0.199,114.924,206098,3,dewasa,0,0,1,0,0
7j3ummwVoAvURPXxNtwlg4,Nadir,Fiersa Besari,0.361,0.281,11,-7.879,1,0.0292,0.674,0.0,0.102,0.342,149.75,298053,4,dewasa,0,0,1,1,0
3IG0E5MfajDoQ4gPsYOn4g,Not Worth the Pain,Hana Wilianto,0.474,0.256,1,-10.206,1,0.0311,0.911,0.0,0.135,0.271,138.665,245041,3,dewasa,0,0,1,0,0
0fwnSnfje2Q77YovfLmrH4,Be Okay Again Today,Pamungkas,0.332,0.562,2,-10.326,1,0.0421,0.335,0.00401,0.0803,0.737,169.984,382818,4,dewasa,0,1,0,1,0
6Dz86D3QHLloDiia51cxFV,Berisik,Dere,0.756,0.336,11,-11.333,1,0.0313,0.724,0.000359,0.111,0.432,92.084,202989,4,dewasa,0,0,1,0,0
77SiKnkNEnRw0uoPE4wuEp,cigarettes of ours,Ardhito Pramono,0.609,0.218,7,-14.225,1,0.034,0.849,3.65e-05,0.107,0.386,112.203,222247,4,dewasa,0,0,1,0,0
6GseyHjulIwmuNrs54rIie,Pesan Di Balik Awan,Adhitia Sofyan,0.58,0.133,5,-16.673,1,0.0849,0.884,6.07e-06,0.0959,0.167,142.184,233629,4,dewasa,0,0,1,0,0
4ZkbziGKPCvWPYnu6dzfgl,Melawan Hati,Fiersa Besari,0.23,0.41,10,-8.33,1,0.0306,0.451,3e-06,0.107,0.175,78.754,276320,4,dewasa,1,0,0,0,0
6xeqCawPZngDVqw2W2aGaR,Kembali Pulang,Suara Kayu,0.559,0.236,1,-10.619,1,0.0282,0.95,0.00673,0.105,0.33,141.977,207899,3,dewasa,0,0,1,0,0
1ado6H8nwj0izGVinobwuP,Jalan Pulang,Yura Yunita,0.522,0.227,0,-10.949,1,0.0302,0.956,4.81e-05,0.129,0.373,157.861,216835,3,dewasa,0,1,1,1,0
0UdaSZnSoXauJgyfo6UVsa,Jangan Cepat Berlalu,Raisa,0.519,0.267,2,-11.443,1,0.0294,0.91,0.000116,0.161,0.285,134.042,245411,3,dewasa,0,0,1,0,0
0dZuLzCsmawBKnVvXca0aj,Istirahatlah,Abimanyu Bhakti,0.48,0.261,11,-11.72,1,0.0348,0.878,2.85e-05,0.12,0.332,112.285,154000,3,dewasa,0,0,1,0,0
0JtEuERxvGfXYcg0ALOwPu,terima kasih,Hal,0.582,0.485,2,-6.981,1,0.0296,0.784,0.0233,0.0883,0.325,87.012,204138,4,dewasa,0,0,1,0,0
0lAwrV80YlQCGeqPtMIQjB,Semua Orang Pernah Sakit Hati,Lomba Sihir,0.82,0.754,1,-5.877,1,0.0626,0.00113,0.736,0.143,0.618,119.009,200537,4,dewasa,0,0,0,0,1
0ROj512WvJ1eqeELd7MEdJ,Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,0.412,0.108,2,-18.295,1,0.0484,0.985,0.0709,0.0836,0.141,97.448,408288,4,dewasa,0,0,1,0,0
2VyWEOCnjt3C5ukKqXkGAF,Kereta Ini Melaju Terlalu Cepat,Nadin Amizah,0.516,0.377,4,-11.438,1,0.0271,0.909,0.00401,0.103,0.243,99.941,292652,3,dewasa,0,0,1,0,0
534P1wgOzlgSogu8At0B6b,I've Had Enough,Melina KB,0.742,0.607,10,-5.744,0,0.0686,0.26,0.0,0.0884,0.667,170.055,210829,3,dewasa,0,1,0,1,1
6bsGUcHX3dlouSNvMYH8Pk,BLAME IT ON THE KIDS,AViVA,0.719,0.441,6,-6.266,0,0.172,0.359,0.0,0.163,0.504,133.019,196341,4,dewasa,0,0,0,0,0
7pEGM6phhCcPXx0muMqFWW,Angry Too,Lola Blanc,0.551,0.742,8,-5.216,1,0.0724,0.0624,0.000221,0.0673,0.614,160.081,204089,4,dewasa,0,1,0,1,1
23KVefoON2iEz1dh940quQ,911,Ellise,0.765,0.53,10,-7.18,0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,188387,4,dewasa,0,0,0,0,0
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4,dewasa,0,0,0,0,1
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4,dewasa,0,0,0,0,1
4TQcARE7Fd58akNhr3N7AE,Twisted,MISSIO,0.577,0.789,2,-4.661,1,0.0427,0.00532,0.0105,0.214,0.149,97.52,222707,3,dewasa,0,0,0,0,1
6i5jBmnB22alUpJ7hpznuj,Born Without a Heart,Faouzia,0.699,0.613,1,-5.827,1,0.0328,0.0307,0.0,0.175,0.54,122.934,198896,4,dewasa,0,0,0,0,1
3SKzTIl9mW0DadTys9SFo3,Control,Halsey,0.549,0.675,4,-5.637,0,0.0332,0.399,0.0,0.181,0.206,119.898,214762,4,dewasa,0,0,0,0,1
4FeWr4OsidcJClBjUEBHWI,Savage,Bahari,0.728,0.428,3,-7.368,0,0.0469,0.869,0.0,0.1,0.434,98.024,164133,4,dewasa,0,0,1,0,0
1HuIahUPUXCx7Kz4rgMXFU,O.D.D.,Hey Violet,0.553,0.611,6,-6.468,1,0.0464,0.00935,1.04e-06,0.149,0.369,154.094,222689,4,dewasa,0,0,0,1,0
0Z3AGsU11hASarHrOPLUn9,It Took Me By Surprise,Maria Mena,0.614,0.532,7,-7.095,0,0.0505,0.395,0.0,0.0718,0.299,62.494,179800,4,dewasa,1,0,0,0,0
2WEAKylXBPr9PJNANBSTDG,Prom Queen,Molly Kate Kestner,0.601,0.706,6,-4.537,0,0.0458,0.0495,0.0,0.0982,0.249,91.996,226143,4,dewasa,0,0,0,0,1
7vguMCv8uVuZLiQJ156u3Z,Play with Fire (feat. Yacht Money),Sam Tinnesz,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,180691,4,dewasa,1,0,0,0,1
0WHi11uzahqpEtPGYCW6oQ,If I Killed Someone For You,Alec Benjamin,0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,185123,4,dewasa,0,0,1,0,1
5ln5yQdUywVbf8HhFsOcd6,Walls Could Talk,Halsey,0.626,0.423,1,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162,101790,4,dewasa,0,0,0,0,1
44r4zta6P9flkhKaVnbsvG,Freaks,Jordan Clarke,0.674,0.568,1,-6.356,1,0.0408,0.116,0.0,0.165,0.64,166.107,174800,4,dewasa,0,1,0,1,0
37pf8jSeCGlzgQPIfVHO6X,Class Fight,Melanie Martinez,0.767,0.707,6,-8.444,1,0.0489,0.42,5.16e-05,0.298,0.772,92.015,161065,4,dewasa,0,0,0,0,0
3zjjzKg16tczCMwckGKGuH,Happy Pills,Weathers,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,203080,4,dewasa,0,0,0,0,1
3JyvSSU0VnlMUsQckyEVfX,Darkside,grandson,0.497,0.701,7,-6.834,1,0.119,0.000568,0.000287,0.352,0.18,76.918,229531,4,dewasa,1,0,0,0,0
1OBrEfDbOdV0v0L0iiOu8h,Devils Don't Fly,Natalia Kills,0.606,0.663,2,-6.175,0,0.042,0.237,0.000194,0.139,0.201,85.967,277867,4,dewasa,1,0,0,0,0
4xb8JHIN56xixSl6vkSPjm,Siren,Kailee Morgue,0.603,0.512,10,-6.687,0,0.0402,0.454,0.00014,0.154,0.271,145.91,200267,4,dewasa,0,0,0,1,0
5GW9tTmCaN2jFRaqZvKhRS,Play Nice,Jules LeBlanc,0.744,0.41,2,-8.303,0,0.0621,0.366,0.0,0.0428,0.729,135.061,161333,4,dewasa,0,0,0,0,0
6UVZo6UKUZC1J2KPP3IIwQ,yes & no,XYLØ,0.835,0.505,8,-5.834,0,0.168,0.286,0.00219,0.198,0.665,118.021,178983,4,dewasa,0,0,0,0,1
2pTnasibfxSW1dXhljWByn,Serial Killer,Moncrieff,0.581,0.687,1,-5.965,0,0.137,0.265,4.57e-06,0.104,0.299,78.004,211009,4,dewasa,1,0,0,0,1
4oaU0fMSg3n9kqOwmLPVhH,Partners in Crime (feat. Ash Costello),Set It Off,0.376,0.939,1,-3.437,1,0.0572,0.00704,0.0,0.116,0.815,190.109,211027,4,dewasa,0,0,0,1,1
5gWtkdgdyt5bZt9i6n3Kqd,Mad Hatter,Melanie Martinez,0.568,0.692,8,-4.513,1,0.0589,0.0161,0.0,0.148,0.577,92.023,201520,4,dewasa,0,0,0,0,1
4U7G8dgUodMEVSv96QRcDb,No Friends,Cadmium,0.771,0.644,4,-7.746,1,0.0337,0.522,7.13e-06,0.076,0.831,145.029,235024,4,dewasa,0,0,0,1,0
4ClnJdCaf6PLeLgStqb1e9,Hide and Seek,Lizz Robinett,0.625,0.726,1,-2.144,1,0.031,0.335,0.0,0.273,0.559,119.994,138800,4,dewasa,0,0,0,0,1
58ASzIQ5TBNQuAvCOZorjF,Hard Boy,Frawley,0.516,0.825,4,-3.209,1,0.147,0.188,0.0,0.165,0.424,180.006,192347,4,dewasa,0,0,0,1,1
53b4d9jHQZq89EtQxwUURr,Queen,Loren Gray,0.617,0.463,11,-7.978,0,0.0402,0.0186,0.0,0.187,0.24,83.931,160444,4,dewasa,1,0,0,0,0
59tskctgqUmjCWAwhzYAFm,Looking at Me,Sabrina Carpenter,0.681,0.798,2,-4.367,1,0.0375,0.00398,5.11e-06,0.0542,0.516,105.99,181120,4,dewasa,0,0,0,0,1
